customerid,purchase_count,stockcode,description,total_quantity_sold,month,total_revenue,country,source
-1.0,3710.0,,,,,,,customer_purchase_frequency
14911.0,248.0,,,,,,,customer_purchase_frequency
12748.0,224.0,,,,,,,customer_purchase_frequency
17841.0,169.0,,,,,,,customer_purchase_frequency
14606.0,128.0,,,,,,,customer_purchase_frequency
13089.0,118.0,,,,,,,customer_purchase_frequency
15311.0,118.0,,,,,,,customer_purchase_frequency
12971.0,89.0,,,,,,,customer_purchase_frequency
14527.0,86.0,,,,,,,customer_purchase_frequency
13408.0,81.0,,,,,,,customer_purchase_frequency
,,22197,SMALL POPCORN HOLDER,56450.0,,,,most_popular_products
,,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,53847.0,,,,most_popular_products
,,85099B,JUMBO BAG RED RETROSPOT,47363.0,,,,most_popular_products
,,85123A,WHITE HANGING HEART T-LIGHT HOLDER,39122.0,,,,most_popular_products
,,84879,ASSORTED COLOUR BIRD ORNAMENT,36221.0,,,,most_popular_products
,,21212,PACK OF 72 RETROSPOT CAKE CASES,36039.0,,,,most_popular_products
,,23084,RABBIT NIGHT LIGHT,30646.0,,,,most_popular_products
,,22492,MINI PAINT SET VINTAGE ,26437.0,,,,most_popular_products
,,22616,PACK OF 12 LONDON TISSUES ,26315.0,,,,most_popular_products
,,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24753.0,,,,most_popular_products
,,,,,1.0,752832.35,,total_revenue_month
,,,,,2.0,605770.91,,total_revenue_month
,,,,,3.0,1357656.16,,total_revenue_month
,,,,,4.0,605903.54,,total_revenue_month
,,,,,5.0,862847.43,,total_revenue_month
,,,,,6.0,832551.0,,total_revenue_month
,,,,,7.0,846476.41,,total_revenue_month
,,,,,8.0,832780.26,,total_revenue_month
,,,,,9.0,1188888.76,,total_revenue_month
,,,,,10.0,1173033.2,,total_revenue_month
,,,,,11.0,1520195.87,,total_revenue_month
,,,,,12.0,1347050.81,,total_revenue_month
,,,,,,10074061.95,United Kingdom,total_sales_country
,,,,,,362603.7,Netherlands,total_sales_country
,,,,,,319712.77,EIRE,total_sales_country
,,,,,,258753.52,Germany,total_sales_country
,,,,,,223789.2,France,total_sales_country
,,,,,,172633.95,Australia,total_sales_country
,,,,,,65218.78,Switzerland,total_sales_country
,,,,,,61315.4,Spain,total_sales_country
,,,,,,47557.5,Belgium,total_sales_country
,,,,,,46304.19,Japan,total_sales_country
,,,,,,41779.05,Sweden,total_sales_country
,,,,,,40147.27,Norway,total_sales_country
,,,,,,32654.47,Portugal,total_sales_country
,,,,,,23160.55,Finland,total_sales_country
,,,,,,21973.19,Channel Islands,total_sales_country
,,,,,,21094.59,Denmark,total_sales_country
,,,,,,20376.1,Italy,total_sales_country
,,,,,,16656.81,Cyprus,total_sales_country
,,,,,,11494.23,Singapore,total_sales_country
,,,,,,10132.85,Poland,total_sales_country
,,,,,,9838.65,Austria,total_sales_country
,,,,,,8825.94,Israel,total_sales_country
,,,,,,6110.8,Greece,total_sales_country
,,,,,,5438.44,Iceland,total_sales_country
,,,,,,4315.9,Canada,total_sales_country
,,,,,,2961.75,Unspecified,total_sales_country
,,,,,,2747.72,United Arab Emirates,total_sales_country
,,,,,,2727.7,Malta,total_sales_country
,,,,,,2104.54,USA,total_sales_country
,,,,,,2085.13,Lebanon,total_sales_country
,,,,,,1804.34,Lithuania,total_sales_country
,,,,,,1617.79,European Community,total_sales_country
,,,,,,1225.35,Brazil,total_sales_country
,,,,,,1090.43,RSA,total_sales_country
,,,,,,803.48,Czech Republic,total_sales_country
,,,,,,716.78,Bahrain,total_sales_country
,,,,,,151.89,Saudi Arabia,total_sales_country
