country,total_revenue
"United Kingdom",10074061.95
Netherlands,362603.70
EIRE,319712.77
Germany,258753.52
France,223789.20
Australia,172633.95
Switzerland,65218.78
Spain,61315.40
Belgium,47557.50
Japan,46304.19
Sweden,41779.05
Norway,40147.27
Portugal,32654.47
Finland,23160.55
"Channel Islands",21973.19
Denmark,21094.59
Italy,20376.10
Cyprus,16656.81
Singapore,11494.23
Poland,10132.85
Austria,9838.65
Israel,8825.94
Greece,6110.80
Iceland,5438.44
Canada,4315.90
Unspecified,2961.75
"United Arab Emirates",2747.72
Malta,2727.70
USA,2104.54
Lebanon,2085.13
Lithuania,1804.34
"European Community",1617.79
Brazil,1225.35
RSA,1090.43
"Czech Republic",803.48
Bahrain,716.78
"Saudi Arabia",151.89
